id,name,address,reference,desc,area,status_online,status_operation,total_docks,occupied_docs,available_bikes,available_docks,incidents,occupancy_rate,lon,lat
117,Capote Valente,"Rua Capote Valente, 232",,12x0,21,A,EO,12,0,0,12,0,0,-46.67417,-23.557968
118,Augusta,Rua Luiz Coelho 114,,12x0,21,A,EO,12,0,0,12,0,0,-46.65866,-23.556788
119,Haddock Lobo,Haddock Lobo 60,,12x0,21,A,EO,11,0,0,11,0,0,-46.658077,-23.554309
120,Shopping Frei Caneca,Rua Herculano de Freitas 51,,12x0,21,A,EO,12,1,1,11,0,8,-46.652154,-23.555057
121,Vai Vai,"Rua São Vicente, 202",,12x0,21,I,EM,12,0,0,12,0,0,-46.648635,-23.556512
122,MASP,"Rua Carlos Comenale, em frente ao número 37 / Esquina com a Rua Itapeva",,12x0,21,A,EO,12,0,0,12,0,0,-46.654935,-23.56142
123,Almirante Marques de Leão,"Rua Almirante Marques de Leão, 344",,12x0,21,A,EO,12,1,1,11,0,8,-46.648734,-23.560034
124,Conselheiro Carrão,"Rua Conselheiro Ramalho, em frente ao número 701 / Esquina com a Rua Conselheiro Carrão",,12x0,21,A,EO,12,5,5,7,0,41,-46.644164,-23.557841
125,Santa Madalena,"Rua Doutor Alfredo Ellis, em frente ao número 198 (Estacionamento) / Esquina com a Rua Santa Madalena",,12x0,21,A,EO,12,1,1,11,0,8,-46.644197,-23.563181
126,Ribeirão Preto,"Alameda Joaquim Eugênio de Lima, em frente ao número 180 / Esquina com a Alameda Ribeirão Preto",,12x0,21,A,EO,12,0,0,12,0,0,-46.648756,-23.563741
127,Metrô ParaÍso,"Rua Apeninos, em frente ao número 911 / Esquina com a Rua Eduardo Amaro",,12x0,21,A,EO,12,1,1,11,0,8,-46.639368,-23.575325
128,Metrô Vergueiro,"Rua Vergueiro, 681",,12x0,21,I,EM,12,0,0,12,0,0,-46.639451,-23.56615
129,Pires da Mota,"Rua Pais de Andrade, 42",,12x0,21,A,EO,12,0,0,12,0,0,-46.628723,-23.566307
130,Metrô São Joaquim,"Rua Pirapitingui, em frente ao número 34 / Esquina com a Rua Vergueiro",,12x0,21,A,EO,12,5,5,7,0,41,-46.638404,-23.562335
131,Rua Fagundes,"Rua Taguá, lateral do número 110 / Esquina com a Rua Fagundes",,12x0,21,A,EO,11,5,5,6,0,45,-46.63207,-23.561823
132,Barão de Iguape,"Rua Sinimbu, em frente ao número 111 / Esquina com a Rua Barão de Iguape",,12x0,21,I,EM,12,0,0,12,0,0,-46.631381,-23.558141
134,Metrô Liberdade,,,12x0,20,I,EM,12,0,0,12,0,0,-46.635074,-23.554585
135,Glicério,"Rua Glicério, 345",,12x0,21,I,EM,12,0,0,12,0,0,-46.628637,-23.554349
136,Praça da Sé,"Rua Quintino Bocaiúva, oposto ao número 48 (Banco Itaú) / Entre a Rua João Mendes e o Viaduto Dona Paulina",,8x6,21,I,EM,14,0,0,14,0,0,-46.634787,-23.548802
137,Santo Antônio,"Rua Santo Antônio,",,12x0,21,I,EM,12,0,0,12,0,0,-46.645417,-23.551202
138,Copan,,,12x0,20,A,EO,10,5,5,5,0,50,-46.645631,-23.545182
139,Praça da República,,,12x0,20,I,EM,12,0,0,12,0,0,-46.646018,-23.541484
140,Metrô Anhangabaú,"Rua Formosa, oposto ao número 75",,8x6,21,I,EM,14,0,0,14,0,0,-46.638874,-23.547219
141,Metrô São Bento,Rua líbero Badaró 621,,12x0,21,I,EM,12,0,0,12,0,0,-46.634992,-23.544022
142,Mercado Municipal,"Rua da Cantareira,134",,12x0,21,I,EM,12,0,0,12,0,0,-46.630493,-23.543004
144,Cemitério da Consolação,"Rua Mato Grosso, 50",,12x0,21,A,EO,12,1,1,11,0,8,-46.656242,-23.548998
145,Parque Buenos Aires,"Rua Piauí, 647",,12x0,21,A,EO,9,0,0,9,0,0,-46.65719,-23.545573
146,Estádio do Pacaembu,"Rua Engenheiro Edgar Egídio de Souza, 595",,12x0,21,A,EO,12,1,1,11,0,8,-46.664546,-23.544521
147,Shopping Higienópolis,"Rua Jaguaribe, 777",,12x0,21,A,EO,11,7,7,4,0,63,-46.655695,-23.541447
148,Alameda Barros,"Rua Doutor Candido Espinheira, 21",,12x0,21,A,EO,11,8,8,3,0,72,-46.6604,-23.534584
150,Metrô Santa Cecília,"Rua Frederico Abranches, 218",,12x0,21,A,EO,12,11,11,1,0,91,-46.6497,-23.539817
151,Santa Casa,"Rua Doutor Cesário Mota Júnior, 151",,12x0,21,A,EO,12,8,8,4,0,66,-46.648914,-23.543181
156,Conselheiro Brotero,"Rua Conselheiro Brotero, 475",,12x0,21,A,EO,12,8,8,4,0,66,-46.658055,-23.530938
160,José Paulino,"Rua José Paulino, 931",,12x0,21,A,EO,11,0,0,11,0,0,-46.643743,-23.527949
162,Metrô Armênia,"Rua Alfredo Maia, 534",,12x0,21,A,EO,12,1,1,11,0,8,-46.629604,-23.527014
163,Metrô Tiradentes,"Rua Três Rios, 24",,12x0,21,I,EO,12,0,0,12,0,0,-46.634445,-23.529892
